Model,Macro F1,ROC-AUC,CV F1 Mean,CV F1 Std,Role
Logistic Regression,0.1818,0.6146,0.214,0.088,Baseline
Random Forest,0.125,0.3108,0.1587,0.0168,Ensemble
XGBoost (Tuned),0.05,0.3264,0.1729,0.0723,Primary ML Model
