train_loss,val_loss,train_acc,val_acc
1.6595654487609863,1.7310609817504883,0.2972972972972973,0.14285714285714285
1.5413545885601558,1.4575477838516235,0.32432432432432434,0.35714285714285715
1.4585265017844535,1.2585550546646118,0.36486486486486486,0.35714285714285715
1.3579623956938047,1.08378005027771,0.40540540540540543,0.42857142857142855
1.2912846288165531,0.9639034867286682,0.5,0.5
1.064506695077226,0.848995566368103,0.6081081081081081,0.5714285714285714
1.0490838675885588,0.7801377773284912,0.581081081081081,0.7857142857142857
0.8747951758874429,0.7199452519416809,0.6216216216216216,0.7857142857142857
0.8616428020838145,0.6792320609092712,0.7027027027027027,0.7857142857142857
0.7758313828223461,0.6434944272041321,0.6891891891891891,0.7857142857142857
0.7706762036761722,0.6229018568992615,0.7297297297297297,0.7857142857142857
0.7459168482471157,0.6054556965827942,0.7027027027027027,0.7857142857142857
0.7105187789813893,0.5942949056625366,0.7027027027027027,0.7857142857142857
0.6624622957126515,0.577350914478302,0.7297297297297297,0.7857142857142857
0.5673952892019942,0.566358208656311,0.8378378378378378,0.7857142857142857
0.5365248354705604,0.5495374798774719,0.8783783783783784,0.7857142857142857
0.5560584148845157,0.5362624526023865,0.8513513513513513,0.7857142857142857
0.5767499643403131,0.5283180475234985,0.8378378378378378,0.7857142857142857
0.567308168153505,0.5321919322013855,0.8243243243243243,0.7142857142857143
0.5621598636781847,0.5416222214698792,0.8648648648648649,0.7142857142857143
0.5625323701549221,0.5454946160316467,0.7972972972972973,0.7142857142857143
0.53530911336074,0.5354489088058472,0.8513513513513513,0.7142857142857143
0.48018255588170644,0.5354302525520325,0.8918918918918919,0.7142857142857143
0.45592145500956355,0.5354501008987427,0.8918918918918919,0.7142857142857143
0.4196699326102798,0.5202957987785339,0.8783783783783784,0.7142857142857143
0.43192868297164505,0.5210312604904175,0.8918918918918919,0.7142857142857143
0.4681344048396961,0.526516318321228,0.9054054054054054,0.7857142857142857
0.4002928492185232,0.5359971523284912,0.9054054054054054,0.7857142857142857
0.37008056366765824,0.5318940877914429,0.9459459459459459,0.7857142857142857
0.40510034238969955,0.5348811745643616,0.8918918918918919,0.7857142857142857
0.478291261840511,0.5332728624343872,0.8648648648648649,0.7857142857142857
0.44023156729904384,0.5248008370399475,0.8783783783783784,0.7857142857142857
0.42321285766524236,0.515792727470398,0.9054054054054054,0.7857142857142857
0.3768298529289864,0.5181235671043396,0.8783783783783784,0.7857142857142857
0.39713739221160477,0.5222721099853516,0.8648648648648649,0.7857142857142857
0.36524641997105367,0.5150538086891174,0.9459459459459459,0.7857142857142857
0.35760573277602326,0.5165525078773499,0.9054054054054054,0.7857142857142857
0.40284530697642146,0.5072135925292969,0.9054054054054054,0.8571428571428571
0.34912233094911316,0.49281543493270874,0.9594594594594594,0.8571428571428571
0.3662475556940646,0.48968347907066345,0.918918918918919,0.8571428571428571
0.4873356078122113,0.4650875926017761,0.8378378378378378,0.8571428571428571
0.40868799187041616,0.4771442413330078,0.9054054054054054,0.8571428571428571
0.35035857316609975,0.4709306061267853,0.9054054054054054,0.8571428571428571
0.4174439842636521,0.46171820163726807,0.918918918918919,0.8571428571428571
0.4199129898805876,0.47065794467926025,0.9054054054054054,0.8571428571428571
0.37528249057563573,0.46779417991638184,0.8918918918918919,0.8571428571428571
0.3366160433034639,0.45262789726257324,0.918918918918919,0.9285714285714286
0.31603090746982676,0.45597773790359497,0.9324324324324325,0.9285714285714286
0.32360995782388224,0.45751476287841797,0.918918918918919,0.9285714285714286
0.35386175400501974,0.46621865034103394,0.9054054054054054,0.8571428571428571
0.3821829444653279,0.4436642825603485,0.8783783783783784,0.8571428571428571
0.39278999132079045,0.44527003169059753,0.8783783783783784,0.9285714285714286
0.3526339321523099,0.4389205574989319,0.918918918918919,0.9285714285714286
0.33447636945827586,0.42599737644195557,0.918918918918919,0.9285714285714286
0.3172686776599368,0.4237862825393677,0.918918918918919,0.9285714285714286
0.33087329445658503,0.42202988266944885,0.9324324324324325,0.9285714285714286
0.3444338094543766,0.4091489613056183,0.9054054054054054,0.9285714285714286
0.3071602115759978,0.4192041754722595,0.9459459459459459,0.9285714285714286
0.32803422937522064,0.42124640941619873,0.9054054054054054,0.9285714285714286
0.3261848140407253,0.4308640658855438,0.9459459459459459,0.9285714285714286
0.33994822486026866,0.4325745701789856,0.9324324324324325,0.9285714285714286
0.3192291968577617,0.44175222516059875,0.8918918918918919,0.9285714285714286
0.36399727737581405,0.42901289463043213,0.9054054054054054,0.9285714285714286
0.3694807049390432,0.4201086461544037,0.9054054054054054,0.9285714285714286
0.3127143817978936,0.4285089373588562,0.918918918918919,0.9285714285714286
0.3476336968911661,0.44607529044151306,0.8783783783783784,0.8571428571428571
0.4097373034503009,0.4462184011936188,0.8783783783783784,0.9285714285714286
0.2615703795407269,0.44343405961990356,0.9594594594594594,0.9285714285714286
0.3586406723873035,0.4324886202812195,0.918918918918919,0.9285714285714286
0.3668944650405162,0.4398536682128906,0.918918918918919,0.9285714285714286
0.30193585801768946,0.44260942935943604,0.918918918918919,0.9285714285714286
0.3534965748722489,0.43293896317481995,0.9324324324324325,0.9285714285714286
