ingredient_name,ingredient_id,nafdac_url,page_scraped,ingredient_name_clean,is_combination,component_count,components
Calcium; Vitamins D; K,1228,https://greenbook.nafdac.gov.ng/ingredient/products/1228,7,Calcium; Vitamins D; K,True,3,Calcium | Vitamins D
Camphor; Menthol,1819,https://greenbook.nafdac.gov.ng/ingredient/products/1819,8,Camphor; Menthol,True,2,Camphor | Menthol
Candesartan Cilexetil,258,https://greenbook.nafdac.gov.ng/ingredient/products/258,8,Candesartan Cilexetil,False,1,Candesartan Cilexetil
Candesartan Cilexetil; Hydrochlorothiazide,259,https://greenbook.nafdac.gov.ng/ingredient/products/259,8,Candesartan Cilexetil; Hydrochlorothiazide,True,2,Candesartan Cilexetil | Hydrochlorothiazide
"canine distemper virus, canine adenovirus type 2 (CAV-2), canine parainfluenza virus and a low-passage, high-titre canine parvovirus fraction",1758,https://greenbook.nafdac.gov.ng/ingredient/products/1758,8,"canine distemper virus, canine adenovirus type 2 (CAV-2), canine parainfluenza virus and a low-passage, high-titre canine parvovirus fraction",True,4,canine distemper virus | canine adenovirus type 2 | canine parainfluenza virus and a low-passage | high-titre canine parvovirus fraction
"Canine distemper virus; Canine adenovirus (infectious hepatitis virus); Canine parvovirus; Canine parainfluenza virus, Live vaccine",2237,https://greenbook.nafdac.gov.ng/ingredient/products/2237,8,"Canine distemper virus; Canine adenovirus (infectious hepatitis virus); Canine parvovirus; Canine parainfluenza virus, Live vaccine",True,5,Canine distemper virus | Canine adenovirus | Canine parvovirus | Canine parainfluenza virus | Live vaccine
Cannula,2105,https://greenbook.nafdac.gov.ng/ingredient/products/2105,8,Cannula,False,1,Cannula
Capecitabine,1244,https://greenbook.nafdac.gov.ng/ingredient/products/1244,8,Capecitabine,False,1,Capecitabine
Captopril,222,https://greenbook.nafdac.gov.ng/ingredient/products/222,8,Captopril,False,1,Captopril
Carbamazepine,25,https://greenbook.nafdac.gov.ng/ingredient/products/25,8,Carbamazepine,False,1,Carbamazepine
Carbetocin,1381,https://greenbook.nafdac.gov.ng/ingredient/products/1381,8,Carbetocin,False,1,Carbetocin
Carbimazole,640,https://greenbook.nafdac.gov.ng/ingredient/products/640,8,Carbimazole,False,1,Carbimazole
Carbocisteine,406,https://greenbook.nafdac.gov.ng/ingredient/products/406,8,Carbocisteine,False,1,Carbocisteine
Carbocisteine; Promethazine Hydrochloride,407,https://greenbook.nafdac.gov.ng/ingredient/products/407,8,Carbocisteine; Promethazine Hydrochloride,True,2,Carbocisteine | Promethazine
Carbony Iron; Folic Acid; Vit B12; VitE15; Selenium,2031,https://greenbook.nafdac.gov.ng/ingredient/products/2031,8,Carbony Iron; Folic Acid; Vit B12; VitE15; Selenium,True,5,Carbony Iron | Folic Acid | Vit B12 | VitE15 | Selenium
Carbonyl iron; Folic acid; Vit B12; Vit C; Zinc,1409,https://greenbook.nafdac.gov.ng/ingredient/products/1409,8,Carbonyl iron; Folic acid; Vit B12; Vit C; Zinc,True,5,Carbonyl iron | Folic acid | Vit B12 | Vit C | Zinc
Carbonyl iron; Folic acid; Vit B12; Vit E; Selenium,1388,https://greenbook.nafdac.gov.ng/ingredient/products/1388,8,Carbonyl iron; Folic acid; Vit B12; Vit E; Selenium,True,5,Carbonyl iron | Folic acid | Vit B12 | Vit E | Selenium
Carbonyl iron; Folic acid; Vit B12; Zinc,1967,https://greenbook.nafdac.gov.ng/ingredient/products/1967,8,Carbonyl iron; Folic acid; Vit B12; Zinc,True,4,Carbonyl iron | Folic acid | Vit B12 | Zinc
Carbonyl iron; Folic acid; Zinc,1455,https://greenbook.nafdac.gov.ng/ingredient/products/1455,8,Carbonyl iron; Folic acid; Zinc,True,3,Carbonyl iron | Folic acid | Zinc
Carboplatin,725,https://greenbook.nafdac.gov.ng/ingredient/products/725,8,Carboplatin,False,1,Carboplatin
Carboxymethylcellulose Sodium,1313,https://greenbook.nafdac.gov.ng/ingredient/products/1313,8,Carboxymethylcellulose Sodium,False,1,Carboxymethylcellulose
Cardioplegia solutions,310,https://greenbook.nafdac.gov.ng/ingredient/products/310,8,Cardioplegia solutions,False,1,Cardioplegia solutions
Carvedilol,240,https://greenbook.nafdac.gov.ng/ingredient/products/240,8,Carvedilol,False,1,Carvedilol
Caspofungin (Caspofungin Acetate),1374,https://greenbook.nafdac.gov.ng/ingredient/products/1374,8,Caspofungin (Caspofungin Acetate),False,1,Caspofungin
Castor oil,201,https://greenbook.nafdac.gov.ng/ingredient/products/201,8,Castor oil,False,1,Castor oil
Castor oil; Isopropyl alcohol; Pine oil; Chloroxylenol,1961,https://greenbook.nafdac.gov.ng/ingredient/products/1961,8,Castor oil; Isopropyl alcohol; Pine oil; Chloroxylenol,True,4,Castor oil | Isopropyl alcohol | Pine oil | Chloroxylenol
Castor oil; Pine oil; Dichloroxylenol,1817,https://greenbook.nafdac.gov.ng/ingredient/products/1817,8,Castor oil; Pine oil; Dichloroxylenol,True,3,Castor oil | Pine oil | Dichloroxylenol
Catgut Sutures,2178,https://greenbook.nafdac.gov.ng/ingredient/products/2178,8,Catgut Sutures,False,1,Catgut Sutures
Catheter Kit,2129,https://greenbook.nafdac.gov.ng/ingredient/products/2129,8,Catheter Kit,False,1,Catheter Kit
Catheters,2007,https://greenbook.nafdac.gov.ng/ingredient/products/2007,8,Catheters,False,1,Catheters
Cefaclor,435,https://greenbook.nafdac.gov.ng/ingredient/products/435,8,Cefaclor,False,1,Cefaclor
Cefadroxil,436,https://greenbook.nafdac.gov.ng/ingredient/products/436,8,Cefadroxil,False,1,Cefadroxil
Cefadroxil Monohydrate,1901,https://greenbook.nafdac.gov.ng/ingredient/products/1901,8,Cefadroxil Monohydrate,False,1,Cefadroxil
Cefalexin,437,https://greenbook.nafdac.gov.ng/ingredient/products/437,8,Cefalexin,False,1,Cefalexin
Cefazolin,438,https://greenbook.nafdac.gov.ng/ingredient/products/438,8,Cefazolin,False,1,Cefazolin
Cefdinir,439,https://greenbook.nafdac.gov.ng/ingredient/products/439,8,Cefdinir,False,1,Cefdinir
Cefepime (Cefepime Hydrochloride),440,https://greenbook.nafdac.gov.ng/ingredient/products/440,8,Cefepime (Cefepime Hydrochloride),False,1,Cefepime
Cefixime,2277,https://greenbook.nafdac.gov.ng/ingredient/products/2277,8,Cefixime,False,1,Cefixime
Cefixime (Cefixime Trihydrate),441,https://greenbook.nafdac.gov.ng/ingredient/products/441,8,Cefixime (Cefixime Trihydrate),False,1,Cefixime
Cefixime; Clavulanic Acid (Clavulanate Potassium),442,https://greenbook.nafdac.gov.ng/ingredient/products/442,8,Cefixime; Clavulanic Acid (Clavulanate Potassium),True,2,Cefixime | Clavulanic Acid
Cefodizime,443,https://greenbook.nafdac.gov.ng/ingredient/products/443,8,Cefodizime,False,1,Cefodizime
Cefonicid,444,https://greenbook.nafdac.gov.ng/ingredient/products/444,8,Cefonicid,False,1,Cefonicid
Cefoperazone,445,https://greenbook.nafdac.gov.ng/ingredient/products/445,8,Cefoperazone,False,1,Cefoperazone
Cefoperazone; Sulbactam (Sulbactam Sodium),446,https://greenbook.nafdac.gov.ng/ingredient/products/446,8,Cefoperazone; Sulbactam (Sulbactam Sodium),True,2,Cefoperazone | Sulbactam
Cefotaxime (Cefotaxime Sodium),447,https://greenbook.nafdac.gov.ng/ingredient/products/447,8,Cefotaxime (Cefotaxime Sodium),False,1,Cefotaxime
Cefpodoxime (Cefpodoxime Proxetil),448,https://greenbook.nafdac.gov.ng/ingredient/products/448,8,Cefpodoxime (Cefpodoxime Proxetil),False,1,Cefpodoxime
Cefpodoxime (Cefpodoxime Proxetil); Clavulanic Acid (Clavulanate Potassium),449,https://greenbook.nafdac.gov.ng/ingredient/products/449,8,Cefpodoxime (Cefpodoxime Proxetil); Clavulanic Acid (Clavulanate Potassium),True,2,Cefpodoxime | Clavulanic Acid
Cefprozil,450,https://greenbook.nafdac.gov.ng/ingredient/products/450,8,Cefprozil,False,1,Cefprozil
Cefradine,451,https://greenbook.nafdac.gov.ng/ingredient/products/451,8,Cefradine,False,1,Cefradine
Ceftaroline fosamil,1646,https://greenbook.nafdac.gov.ng/ingredient/products/1646,8,Ceftaroline fosamil,False,1,Ceftaroline fosamil
Ceftazidime (Ceftazidime Pentahydrate),452,https://greenbook.nafdac.gov.ng/ingredient/products/452,8,Ceftazidime (Ceftazidime Pentahydrate),False,1,Ceftazidime
Ceftazidime (Ceftazidime pentahydrate); Avibactam (Sodium Salt),1701,https://greenbook.nafdac.gov.ng/ingredient/products/1701,9,Ceftazidime (Ceftazidime pentahydrate); Avibactam (Sodium Salt),True,2,Ceftazidime | Avibactam
Ceftriaxone,453,https://greenbook.nafdac.gov.ng/ingredient/products/453,9,Ceftriaxone,False,1,Ceftriaxone
Ceftriaxone (Ceftriaxone Sodium),1541,https://greenbook.nafdac.gov.ng/ingredient/products/1541,9,Ceftriaxone (Ceftriaxone Sodium),False,1,Ceftriaxone
Ceftriaxone (Ceftriaxone Sodium); Sulbactam (Sulbactam Sodium),454,https://greenbook.nafdac.gov.ng/ingredient/products/454,9,Ceftriaxone (Ceftriaxone Sodium); Sulbactam (Sulbactam Sodium),True,2,Ceftriaxone | Sulbactam
Ceftriaxone (Ceftriaxone Sodium); Tazobactam,455,https://greenbook.nafdac.gov.ng/ingredient/products/455,9,Ceftriaxone (Ceftriaxone Sodium); Tazobactam,True,2,Ceftriaxone | Tazobactam
Ceftriaxone and Sulbactam,2191,https://greenbook.nafdac.gov.ng/ingredient/products/2191,9,Ceftriaxone and Sulbactam,False,1,Ceftriaxone and Sulbactam
Ceftriaxone Sodium 1G with 1% Lidocaine Hydrochloride 3.5 mL Ampoule,2275,https://greenbook.nafdac.gov.ng/ingredient/products/2275,9,Ceftriaxone Sodium 1G with 1% Lidocaine Hydrochloride 3.5 mL Ampoule,False,1,Ceftriaxone  1G with 1% Lidocaine  3.5 mL Ampoule
Ceftriaxone Sodium; Lidocaine Hydrochloride,2276,https://greenbook.nafdac.gov.ng/ingredient/products/2276,9,Ceftriaxone Sodium; Lidocaine Hydrochloride,True,2,Ceftriaxone | Lidocaine
Cefuroxime (Cefuroxime Axetil),456,https://greenbook.nafdac.gov.ng/ingredient/products/456,9,Cefuroxime (Cefuroxime Axetil),False,1,Cefuroxime
Cefuroxime (Cefuroxime Axetil); Clavulanic acid,457,https://greenbook.nafdac.gov.ng/ingredient/products/457,9,Cefuroxime (Cefuroxime Axetil); Clavulanic acid,True,2,Cefuroxime | Clavulanic acid
Cefuroxime (Cefuroxime Sodium),1543,https://greenbook.nafdac.gov.ng/ingredient/products/1543,9,Cefuroxime (Cefuroxime Sodium),False,1,Cefuroxime
Celecoxib,73,https://greenbook.nafdac.gov.ng/ingredient/products/73,9,Celecoxib,False,1,Celecoxib
Cephalexine Monohydrate,1906,https://greenbook.nafdac.gov.ng/ingredient/products/1906,9,Cephalexine Monohydrate,False,1,Cephalexine
Cervical (Neck) Collar,2182,https://greenbook.nafdac.gov.ng/ingredient/products/2182,9,Cervical (Neck) Collar,False,1,Cervical  Collar
Cervix Self-Screening Test Kit,2115,https://greenbook.nafdac.gov.ng/ingredient/products/2115,9,Cervix Self-Screening Test Kit,False,1,Cervix Self-Screening Test Kit
Cetirizine (Cetirizine Hydrochloride),412,https://greenbook.nafdac.gov.ng/ingredient/products/412,9,Cetirizine (Cetirizine Hydrochloride),False,1,Cetirizine
Cetirizine (Cetirizine Hydrochloride); Ammonium chloride; Sodium citrate; Menthol,1295,https://greenbook.nafdac.gov.ng/ingredient/products/1295,9,Cetirizine (Cetirizine Hydrochloride); Ammonium chloride; Sodium citrate; Menthol,True,4,Cetirizine | Ammonium chloride | Menthol
Cetirizine (Cetirizine Hydrochloride); Menthol,1068,https://greenbook.nafdac.gov.ng/ingredient/products/1068,9,Cetirizine (Cetirizine Hydrochloride); Menthol,True,2,Cetirizine | Menthol
Cetirizine Hydrochloride; Guafenesin; Acetaminophen; Dextromethrophan; Menthol,2358,https://greenbook.nafdac.gov.ng/ingredient/products/2358,9,Cetirizine Hydrochloride; Guafenesin; Acetaminophen; Dextromethrophan; Menthol,True,5,Cetirizine | Guafenesin | Acetaminophen | Dextromethrophan | Menthol
Cetrimide,902,https://greenbook.nafdac.gov.ng/ingredient/products/902,9,Cetrimide,False,1,Cetrimide
Cetrorelix (Cetrorelix Acetate),1380,https://greenbook.nafdac.gov.ng/ingredient/products/1380,9,Cetrorelix (Cetrorelix Acetate),False,1,Cetrorelix
Cetuximab,726,https://greenbook.nafdac.gov.ng/ingredient/products/726,9,Cetuximab,False,1,Cetuximab
Chest Drainage Bottles,2153,https://greenbook.nafdac.gov.ng/ingredient/products/2153,9,Chest Drainage Bottles,False,1,Chest Drainage Bottles
Chlorambucil,709,https://greenbook.nafdac.gov.ng/ingredient/products/709,9,Chlorambucil,False,1,Chlorambucil
Chloramphenicol,1588,https://greenbook.nafdac.gov.ng/ingredient/products/1588,9,Chloramphenicol,False,1,Chloramphenicol
Chloramphenicol (Chloramphenicol Sodium Succinate),811,https://greenbook.nafdac.gov.ng/ingredient/products/811,9,Chloramphenicol (Chloramphenicol Sodium Succinate),False,1,Chloramphenicol
Chloramphenicol Palmitate,750,https://greenbook.nafdac.gov.ng/ingredient/products/750,9,Chloramphenicol Palmitate,False,1,Chloramphenicol Palmitate
Chloramphenicol; Phenyl Mercuric Nitrate,1929,https://greenbook.nafdac.gov.ng/ingredient/products/1929,9,Chloramphenicol; Phenyl Mercuric Nitrate,True,2,Chloramphenicol | Phenyl Mercuric Nitrate
Chlorhexidine Digluconate,904,https://greenbook.nafdac.gov.ng/ingredient/products/904,9,Chlorhexidine Digluconate,False,1,Chlorhexidine Digluconate
Chlorhexidine Gluconate,1355,https://greenbook.nafdac.gov.ng/ingredient/products/1355,9,Chlorhexidine Gluconate,False,1,Chlorhexidine Gluconate
Chlorhexidine Gluconate; Cetrimide,1240,https://greenbook.nafdac.gov.ng/ingredient/products/1240,9,Chlorhexidine Gluconate; Cetrimide,True,2,Chlorhexidine Gluconate | Cetrimide
Chlorhexidine Hydrochloride,903,https://greenbook.nafdac.gov.ng/ingredient/products/903,9,Chlorhexidine Hydrochloride,False,1,Chlorhexidine
Chlorhydrate D' Ephedrine; Theophylline; Chlorpheniramine maleate,1709,https://greenbook.nafdac.gov.ng/ingredient/products/1709,9,Chlorhydrate D' Ephedrine; Theophylline; Chlorpheniramine maleate,True,3,Chlorhydrate D' Ephedrine | Theophylline | Chlorpheniramine
Chlorinated lime; Boric acid,905,https://greenbook.nafdac.gov.ng/ingredient/products/905,9,Chlorinated lime; Boric acid,True,2,Chlorinated lime | Boric acid
Chlormethine,1475,https://greenbook.nafdac.gov.ng/ingredient/products/1475,9,Chlormethine,False,1,Chlormethine
Chloroquine (Chloroquine Phosphate),1572,https://greenbook.nafdac.gov.ng/ingredient/products/1572,9,Chloroquine (Chloroquine Phosphate),False,1,Chloroquine
Chloroxylenol,911,https://greenbook.nafdac.gov.ng/ingredient/products/911,9,Chloroxylenol,False,1,Chloroxylenol
Chlorphenamine Maleate,413,https://greenbook.nafdac.gov.ng/ingredient/products/413,9,Chlorphenamine Maleate,False,1,Chlorphenamine
Chlorphenamine Maleate; Codeine Phosphate; Sodium Citrate; Menthol,1172,https://greenbook.nafdac.gov.ng/ingredient/products/1172,9,Chlorphenamine Maleate; Codeine Phosphate; Sodium Citrate; Menthol,True,4,Chlorphenamine | Codeine | Menthol
Chlorphenamine Maleate; Dextromethorphan,1061,https://greenbook.nafdac.gov.ng/ingredient/products/1061,9,Chlorphenamine Maleate; Dextromethorphan,True,2,Chlorphenamine | Dextromethorphan
Chlorphenamine Maleate; Sodium Citrate,1290,https://greenbook.nafdac.gov.ng/ingredient/products/1290,9,Chlorphenamine Maleate; Sodium Citrate,True,2,Chlorphenamine
Chlorphenamine; Ammonium bicarbonate; Menthol,1242,https://greenbook.nafdac.gov.ng/ingredient/products/1242,9,Chlorphenamine; Ammonium bicarbonate; Menthol,True,3,Chlorphenamine | Ammonium bicarbonate | Menthol
Chlorphenamine; Ammonium Chloride; Liquorice; Menthol,1399,https://greenbook.nafdac.gov.ng/ingredient/products/1399,9,Chlorphenamine; Ammonium Chloride; Liquorice; Menthol,True,4,Chlorphenamine | Ammonium Chloride | Liquorice | Menthol
Chlorphenamine; Ammonium chloride; Sodium citrate,1052,https://greenbook.nafdac.gov.ng/ingredient/products/1052,9,Chlorphenamine; Ammonium chloride; Sodium citrate,True,3,Chlorphenamine | Ammonium chloride
Chlorphenamine; Ammonium chloride; Sodium citrate; Guaifenesin,1072,https://greenbook.nafdac.gov.ng/ingredient/products/1072,9,Chlorphenamine; Ammonium chloride; Sodium citrate; Guaifenesin,True,4,Chlorphenamine | Ammonium chloride | Guaifenesin
Chlorphenamine; Ammonium chloride; Sodium citrate; Ipecacuanha,1053,https://greenbook.nafdac.gov.ng/ingredient/products/1053,9,Chlorphenamine; Ammonium chloride; Sodium citrate; Ipecacuanha,True,4,Chlorphenamine | Ammonium chloride | Ipecacuanha
Chlorphenamine; Ammonium chloride; Sodium citrate; Ipecacuanha; Menthol,1071,https://greenbook.nafdac.gov.ng/ingredient/products/1071,9,Chlorphenamine; Ammonium chloride; Sodium citrate; Ipecacuanha; Menthol,True,5,Chlorphenamine | Ammonium chloride | Ipecacuanha | Menthol
Chlorphenamine; Ammonium Chloride; Sodium Citrate; Liquorice,1873,https://greenbook.nafdac.gov.ng/ingredient/products/1873,9,Chlorphenamine; Ammonium Chloride; Sodium Citrate; Liquorice,True,4,Chlorphenamine | Ammonium Chloride | Liquorice
Chlorphenamine; Ammonium chloride; Sodium citrate; Menthol,1059,https://greenbook.nafdac.gov.ng/ingredient/products/1059,9,Chlorphenamine; Ammonium chloride; Sodium citrate; Menthol,True,4,Chlorphenamine | Ammonium chloride | Menthol
Chlorphenamine; Dextromethorphan; Guaifenesin,1063,https://greenbook.nafdac.gov.ng/ingredient/products/1063,9,Chlorphenamine; Dextromethorphan; Guaifenesin,True,3,Chlorphenamine | Dextromethorphan | Guaifenesin
Chlorphenamine; Sodium citrate; Menthol,1060,https://greenbook.nafdac.gov.ng/ingredient/products/1060,10,Chlorphenamine; Sodium citrate; Menthol,True,3,Chlorphenamine | Menthol
CHLORPHENIRAMINE MALEATE,2283,https://greenbook.nafdac.gov.ng/ingredient/products/2283,10,CHLORPHENIRAMINE MALEATE,False,1,CHLORPHENIRAMINE
Chlorpheniramine Maleate BP; Ammonium Chloride BP; Ipecacuanha Tincture; Sodium Citrate BP; Menthol USP,2071,https://greenbook.nafdac.gov.ng/ingredient/products/2071,10,Chlorpheniramine Maleate BP; Ammonium Chloride BP; Ipecacuanha Tincture; Sodium Citrate BP; Menthol USP,True,5,Chlorpheniramine  BP | Ammonium Chloride BP | Ipecacuanha Tincture | Menthol USP
Chlorpheniramine Maleate BP; Ammonium Chloride BP; Sodium Citrate BP,2070,https://greenbook.nafdac.gov.ng/ingredient/products/2070,10,Chlorpheniramine Maleate BP; Ammonium Chloride BP; Sodium Citrate BP,True,3,Chlorpheniramine  BP | Ammonium Chloride BP
Chlorpheniramine Maleate BP; Ammonium Chloride BP; Sodium Citrate BP; Menthol USP; Ephedrine Hydrochloride BP,2069,https://greenbook.nafdac.gov.ng/ingredient/products/2069,10,Chlorpheniramine Maleate BP; Ammonium Chloride BP; Sodium Citrate BP; Menthol USP; Ephedrine Hydrochloride BP,True,5,Chlorpheniramine  BP | Ammonium Chloride BP | Menthol USP | Ephedrine  BP
Chlorpheniramine Maleate; Phenylephrine Hydrochloride,2003,https://greenbook.nafdac.gov.ng/ingredient/products/2003,10,Chlorpheniramine Maleate; Phenylephrine Hydrochloride,True,2,Chlorpheniramine | Phenylephrine
Chlorpheniramine; Dexamethasone Sodium Phosphate; Tetrahydrozline,2027,https://greenbook.nafdac.gov.ng/ingredient/products/2027,10,Chlorpheniramine; Dexamethasone Sodium Phosphate; Tetrahydrozline,True,3,Chlorpheniramine | Dexamethasone | Tetrahydrozline
Chlorpromazine (Chlorpromazine Hydrochloride),10,https://greenbook.nafdac.gov.ng/ingredient/products/10,10,Chlorpromazine (Chlorpromazine Hydrochloride),False,1,Chlorpromazine
Chlorpropamide,620,https://greenbook.nafdac.gov.ng/ingredient/products/620,10,Chlorpropamide,False,1,Chlorpropamide
Chlortalidone,1344,https://greenbook.nafdac.gov.ng/ingredient/products/1344,10,Chlortalidone,False,1,Chlortalidone
Chlorzoxazone; Paracetamol,984,https://greenbook.nafdac.gov.ng/ingredient/products/984,10,Chlorzoxazone; Paracetamol,True,2,Chlorzoxazone | Paracetamol
Cholecalciferol,2260,https://greenbook.nafdac.gov.ng/ingredient/products/2260,10,Cholecalciferol,False,1,Cholecalciferol
Cholera vaccine,933,https://greenbook.nafdac.gov.ng/ingredient/products/933,10,Cholera vaccine,False,1,Cholera vaccine
Cholesterol Test,2014,https://greenbook.nafdac.gov.ng/ingredient/products/2014,10,Cholesterol Test,False,1,Cholesterol Test
Cholesterol Test Strips,2113,https://greenbook.nafdac.gov.ng/ingredient/products/2113,10,Cholesterol Test Strips,False,1,Cholesterol Test Strips
Choline salicylate,958,https://greenbook.nafdac.gov.ng/ingredient/products/958,10,Choline salicylate,False,1,Choline salicylate
Choline Salicylate ; Lidocaine Hydrochloride,2305,https://greenbook.nafdac.gov.ng/ingredient/products/2305,10,Choline Salicylate; Lidocaine Hydrochloride,True,2,Choline Salicylate | Lidocaine
Choline Salicylate; Cetalkonium Chloride,1723,https://greenbook.nafdac.gov.ng/ingredient/products/1723,10,Choline Salicylate; Cetalkonium Chloride,True,2,Choline Salicylate | Cetalkonium Chloride
Choriogonadotropin alfa,657,https://greenbook.nafdac.gov.ng/ingredient/products/657,10,Choriogonadotropin alfa,False,1,Choriogonadotropin alfa
Chorionic gonadotrophin,658,https://greenbook.nafdac.gov.ng/ingredient/products/658,10,Chorionic gonadotrophin,False,1,Chorionic gonadotrophin
Choroxylenol,2047,https://greenbook.nafdac.gov.ng/ingredient/products/2047,10,Choroxylenol,False,1,Choroxylenol
Ciclosporin,736,https://greenbook.nafdac.gov.ng/ingredient/products/736,10,Ciclosporin,False,1,Ciclosporin
Cimetidine,170,https://greenbook.nafdac.gov.ng/ingredient/products/170,10,Cimetidine,False,1,Cimetidine
Cinnarizine,206,https://greenbook.nafdac.gov.ng/ingredient/products/206,10,Cinnarizine,False,1,Cinnarizine
Ciprofloxacin,752,https://greenbook.nafdac.gov.ng/ingredient/products/752,10,Ciprofloxacin,False,1,Ciprofloxacin
Ciprofloxacin (Ciprofloxacin Hydrochloride),461,https://greenbook.nafdac.gov.ng/ingredient/products/461,10,Ciprofloxacin (Ciprofloxacin Hydrochloride),False,1,Ciprofloxacin
Ciprofloxacin (Ciprofloxacin Hydrochloride); Sodium Chloride,2004,https://greenbook.nafdac.gov.ng/ingredient/products/2004,10,Ciprofloxacin (Ciprofloxacin Hydrochloride); Sodium Chloride,True,2,Ciprofloxacin | Chloride
Ciprofloxacin (Ciprofloxacin Hydrochloride); Tinidazole,462,https://greenbook.nafdac.gov.ng/ingredient/products/462,10,Ciprofloxacin (Ciprofloxacin Hydrochloride); Tinidazole,True,2,Ciprofloxacin | Tinidazole
Ciprofloxacin (Ciprofloxacin Lactate),1552,https://greenbook.nafdac.gov.ng/ingredient/products/1552,10,Ciprofloxacin (Ciprofloxacin Lactate),False,1,Ciprofloxacin
Ciproheptadine HCl,1927,https://greenbook.nafdac.gov.ng/ingredient/products/1927,10,Ciproheptadine HCl,False,1,Ciproheptadine
Cisatracurium (Cisatracurium Besylate),1978,https://greenbook.nafdac.gov.ng/ingredient/products/1978,10,Cisatracurium (Cisatracurium Besylate),False,1,Cisatracurium
Cisplatin,727,https://greenbook.nafdac.gov.ng/ingredient/products/727,10,Cisplatin,False,1,Cisplatin
Citalopram Hydrobromide,19,https://greenbook.nafdac.gov.ng/ingredient/products/19,10,Citalopram Hydrobromide,False,1,Citalopram Hydrobromide
Citalopram Hydrochloride,1533,https://greenbook.nafdac.gov.ng/ingredient/products/1533,10,Citalopram Hydrochloride,False,1,Citalopram
Citicoline,1268,https://greenbook.nafdac.gov.ng/ingredient/products/1268,10,Citicoline,False,1,Citicoline
Citrulline malate,1210,https://greenbook.nafdac.gov.ng/ingredient/products/1210,10,Citrulline malate,False,1,Citrulline malate
Clarithromycin,477,https://greenbook.nafdac.gov.ng/ingredient/products/477,10,Clarithromycin,False,1,Clarithromycin
Clindamycin (Clindamycin Hydrochloride),494,https://greenbook.nafdac.gov.ng/ingredient/products/494,10,Clindamycin (Clindamycin Hydrochloride),False,1,Clindamycin
Clindamycin (Clindamycin Phosphate),1922,https://greenbook.nafdac.gov.ng/ingredient/products/1922,10,Clindamycin (Clindamycin Phosphate),False,1,Clindamycin
Clindamycin (Clindamycin Phosphate); Clotrimazole,675,https://greenbook.nafdac.gov.ng/ingredient/products/675,10,Clindamycin (Clindamycin Phosphate); Clotrimazole,True,2,Clindamycin | Clotrimazole
Clindamycin (Clindamycin Phosphate); Clotrimazole; Tinidazole,2220,https://greenbook.nafdac.gov.ng/ingredient/products/2220,10,Clindamycin (Clindamycin Phosphate); Clotrimazole; Tinidazole,True,3,Clindamycin | Clotrimazole | Tinidazole
Clindamycin phosphate,886,https://greenbook.nafdac.gov.ng/ingredient/products/886,10,Clindamycin phosphate,False,1,Clindamycin
Clindamycin; Adapalene,1749,https://greenbook.nafdac.gov.ng/ingredient/products/1749,10,Clindamycin; Adapalene,True,2,Clindamycin | Adapalene
Clindamycin; Benzoyl peroxide,1168,https://greenbook.nafdac.gov.ng/ingredient/products/1168,10,Clindamycin; Benzoyl peroxide,True,2,Clindamycin | Benzoyl peroxide
Clindamycin; Miconazole,676,https://greenbook.nafdac.gov.ng/ingredient/products/676,10,Clindamycin; Miconazole,True,2,Clindamycin | Miconazole
Clobetasol Propionate,868,https://greenbook.nafdac.gov.ng/ingredient/products/868,10,Clobetasol Propionate,False,1,Clobetasol Propionate
Clobetasol Propionate + Vitamin E,1748,https://greenbook.nafdac.gov.ng/ingredient/products/1748,10,Clobetasol Propionate + Vitamin E,False,1,Clobetasol Propionate | Vitamin E
"CLOBETASOL PROPIONATE, GENTAMICIN SULPHATE, MICONAZOLE NITRATE",2336,https://greenbook.nafdac.gov.ng/ingredient/products/2336,10,"CLOBETASOL PROPIONATE, GENTAMICIN SULPHATE, MICONAZOLE NITRATE",True,3,CLOBETASOL PROPIONATE | GENTAMICIN SULPHATE | MICONAZOLE NITRATE
"Clobetasol Propionate, Miconazole Nitrate, Gentamicin",2005,https://greenbook.nafdac.gov.ng/ingredient/products/2005,10,"Clobetasol Propionate, Miconazole Nitrate, Gentamicin",True,3,Clobetasol Propionate | Miconazole Nitrate | Gentamicin
Clobetasol Propionate; Clotrimazole,1120,https://greenbook.nafdac.gov.ng/ingredient/products/1120,10,Clobetasol Propionate; Clotrimazole,True,2,Clobetasol Propionate | Clotrimazole
Clobetasol Propionate; Neomycin Sulphate,2273,https://greenbook.nafdac.gov.ng/ingredient/products/2273,11,Clobetasol Propionate; Neomycin Sulphate,True,2,Clobetasol Propionate | Neomycin Sulphate
Clobetasol; Clotrimazole; Gentamicin,1423,https://greenbook.nafdac.gov.ng/ingredient/products/1423,11,Clobetasol; Clotrimazole; Gentamicin,True,3,Clobetasol | Clotrimazole | Gentamicin
Clobetasol; Itraconazole; Neomycin,1601,https://greenbook.nafdac.gov.ng/ingredient/products/1601,11,Clobetasol; Itraconazole; Neomycin,True,3,Clobetasol | Itraconazole | Neomycin
Clobetasol; Ketoconazole; Neomycin,1112,https://greenbook.nafdac.gov.ng/ingredient/products/1112,11,Clobetasol; Ketoconazole; Neomycin,True,3,Clobetasol | Ketoconazole | Neomycin
