ingredient_name,ingredient_id,nafdac_url,page_scraped,ingredient_name_clean,is_combination,component_count,components
Alginic Acid; Magnesium Hydroxide; Dried Aluminium Hydroxide; Sodium Bicarbonate,2268,https://greenbook.nafdac.gov.ng/ingredient/products/2268,1,Alginic Acid; Magnesium Hydroxide; Dried Aluminium Hydroxide; Sodium Bicarbonate,True,4,Alginic Acid | Magnesium Hydroxide | Dried Aluminium Hydroxide | Bicarbonate
Allantoin; Dimethicone; Urea,1638,https://greenbook.nafdac.gov.ng/ingredient/products/1638,1,Allantoin; Dimethicone; Urea,True,3,Allantoin | Dimethicone | Urea
Allium sativum (Garlic); Xylopia aethiopica,1875,https://greenbook.nafdac.gov.ng/ingredient/products/1875,1,Allium sativum (Garlic); Xylopia aethiopica,True,2,Allium sativum | Xylopia aethiopica
Allium sativum; Xylopia aromatica; Tetraplura tetraptera; Ficu carica; Sterculia urens; Caramel; Nauclea latifolia,1877,https://greenbook.nafdac.gov.ng/ingredient/products/1877,1,Allium sativum; Xylopia aromatica; Tetraplura tetraptera; Ficu carica; Sterculia urens; Caramel; Nauclea latifolia,True,7,Allium sativum | Xylopia aromatica | Tetraplura tetraptera | Ficu carica | Sterculia urens | Caramel | Nauclea latifolia
Allopurinol,102,https://greenbook.nafdac.gov.ng/ingredient/products/102,1,Allopurinol,False,1,Allopurinol
Alpelisib,1652,https://greenbook.nafdac.gov.ng/ingredient/products/1652,1,Alpelisib,False,1,Alpelisib
Alprazolam,2,https://greenbook.nafdac.gov.ng/ingredient/products/2,1,Alprazolam,False,1,Alprazolam
Alprostadil,1523,https://greenbook.nafdac.gov.ng/ingredient/products/1523,1,Alprostadil,False,1,Alprostadil
Alteplase,1483,https://greenbook.nafdac.gov.ng/ingredient/products/1483,1,Alteplase,False,1,Alteplase
Aluminium diacetate,882,https://greenbook.nafdac.gov.ng/ingredient/products/882,1,Aluminium diacetate,False,1,Aluminium diacetate
Aluminium hydroxide,150,https://greenbook.nafdac.gov.ng/ingredient/products/150,1,Aluminium hydroxide,False,1,Aluminium hydroxide
Aluminium Hydroxide Gel; Magnesium Hydroxide; Simeticone,2082,https://greenbook.nafdac.gov.ng/ingredient/products/2082,2,Aluminium Hydroxide Gel; Magnesium Hydroxide; Simeticone,True,3,Aluminium Hydroxide Gel | Magnesium Hydroxide | Simeticone
Aluminium hydroxide; Magnesium carbonate; Oxethazaine,1089,https://greenbook.nafdac.gov.ng/ingredient/products/1089,2,Aluminium hydroxide; Magnesium carbonate; Oxethazaine,True,3,Aluminium hydroxide | Magnesium carbonate | Oxethazaine
Aluminium hydroxide; Magnesium hydroxide,151,https://greenbook.nafdac.gov.ng/ingredient/products/151,2,Aluminium hydroxide; Magnesium hydroxide,True,2,Aluminium hydroxide | Magnesium hydroxide
Aluminium hydroxide; Magnesium hydroxide; Calcium carbonate; Sodium bicarbonate; Simeticone,156,https://greenbook.nafdac.gov.ng/ingredient/products/156,2,Aluminium hydroxide; Magnesium hydroxide; Calcium carbonate; Sodium bicarbonate; Simeticone,True,5,Aluminium hydroxide | Magnesium hydroxide | Calcium carbonate | bicarbonate | Simeticone
Aluminium hydroxide; Magnesium hydroxide; Liquorice; Simeticone,157,https://greenbook.nafdac.gov.ng/ingredient/products/157,2,Aluminium hydroxide; Magnesium hydroxide; Liquorice; Simeticone,True,4,Aluminium hydroxide | Magnesium hydroxide | Liquorice | Simeticone
Aluminium hydroxide; Magnesium hydroxide; Magnesium trisilicate; Alginic acid; Simeticone,159,https://greenbook.nafdac.gov.ng/ingredient/products/159,2,Aluminium hydroxide; Magnesium hydroxide; Magnesium trisilicate; Alginic acid; Simeticone,True,5,Aluminium hydroxide | Magnesium hydroxide | Magnesium trisilicate | Alginic acid | Simeticone
Aluminium hydroxide; Magnesium hydroxide; Magnesium trisilicate; Oxethazaine; Simeticone,154,https://greenbook.nafdac.gov.ng/ingredient/products/154,2,Aluminium hydroxide; Magnesium hydroxide; Magnesium trisilicate; Oxethazaine; Simeticone,True,5,Aluminium hydroxide | Magnesium hydroxide | Magnesium trisilicate | Oxethazaine | Simeticone
Aluminium hydroxide; Magnesium hydroxide; Magnesium trisilicate; Simeticone,153,https://greenbook.nafdac.gov.ng/ingredient/products/153,2,Aluminium hydroxide; Magnesium hydroxide; Magnesium trisilicate; Simeticone,True,4,Aluminium hydroxide | Magnesium hydroxide | Magnesium trisilicate | Simeticone
Aluminium hydroxide; Magnesium hydroxide; Oxethazaine; Simeticone,1090,https://greenbook.nafdac.gov.ng/ingredient/products/1090,2,Aluminium hydroxide; Magnesium hydroxide; Oxethazaine; Simeticone,True,4,Aluminium hydroxide | Magnesium hydroxide | Oxethazaine | Simeticone
Aluminium hydroxide; Magnesium hydroxide; Simeticone,152,https://greenbook.nafdac.gov.ng/ingredient/products/152,2,Aluminium hydroxide; Magnesium hydroxide; Simeticone,True,3,Aluminium hydroxide | Magnesium hydroxide | Simeticone
Aluminium hydroxide; Magnesium hydroxide; Simeticone; Sodium alginate,1337,https://greenbook.nafdac.gov.ng/ingredient/products/1337,2,Aluminium hydroxide; Magnesium hydroxide; Simeticone; Sodium alginate,True,4,Aluminium hydroxide | Magnesium hydroxide | Simeticone | alginate
Aluminium Hydroxide; Magnesium Hydroxide; Sodium Alginate; Oxethazaine; Simeticone,1266,https://greenbook.nafdac.gov.ng/ingredient/products/1266,2,Aluminium Hydroxide; Magnesium Hydroxide; Sodium Alginate; Oxethazaine; Simeticone,True,5,Aluminium Hydroxide | Magnesium Hydroxide | Alginate | Oxethazaine | Simeticone
Aluminium hydroxide; Magnesium trisilicate,160,https://greenbook.nafdac.gov.ng/ingredient/products/160,2,Aluminium hydroxide; Magnesium trisilicate,True,2,Aluminium hydroxide | Magnesium trisilicate
Aluminium hydroxide; Magnesium trisilicate; Magnesium hydroxide; Dimethyl polysiloxane,1703,https://greenbook.nafdac.gov.ng/ingredient/products/1703,2,Aluminium hydroxide; Magnesium trisilicate; Magnesium hydroxide; Dimethyl polysiloxane,True,4,Aluminium hydroxide | Magnesium trisilicate | Magnesium hydroxide | Dimethyl polysiloxane
Aluminium hydroxide; Magnesium trisilicate; Simeticone,161,https://greenbook.nafdac.gov.ng/ingredient/products/161,2,Aluminium hydroxide; Magnesium trisilicate; Simeticone,True,3,Aluminium hydroxide | Magnesium trisilicate | Simeticone
"ALUMINIUM MAGNESIUM SILICATE, MAGNESIUM TRISILICATE, MAGNESIUM CARBONATE, SODIUM BICARBONATE, SIMETHICONE",2330,https://greenbook.nafdac.gov.ng/ingredient/products/2330,2,"ALUMINIUM MAGNESIUM SILICATE, MAGNESIUM TRISILICATE, MAGNESIUM CARBONATE, SODIUM BICARBONATE, SIMETHICONE",True,5,ALUMINIUM MAGNESIUM SILICATE | MAGNESIUM TRISILICATE | MAGNESIUM CARBONATE | BICARBONATE | SIMETHICONE
"ALUMINUM HYDROXIDE,MAGNESIUM HYDROXIDE,SIMETHICONE",2318,https://greenbook.nafdac.gov.ng/ingredient/products/2318,2,"ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, SIMETHICONE",True,3,ALUMINUM HYDROXIDE | MAGNESIUM HYDROXIDE | SIMETHICONE
Ambroxol Hydrochloride,1396,https://greenbook.nafdac.gov.ng/ingredient/products/1396,2,Ambroxol Hydrochloride,False,1,Ambroxol
Ambroxol Hydrochloride; Guaifenesin; Menthol,1287,https://greenbook.nafdac.gov.ng/ingredient/products/1287,2,Ambroxol Hydrochloride; Guaifenesin; Menthol,True,3,Ambroxol | Guaifenesin | Menthol
