generic_name,generic_name_lower,source_ingredient,ingredient_id,is_combination,nafdac_url
Alpha Tocopherol,alpha tocopherol,L-Leucine; Isoleucine; L-Lysine Hydrochloride; L-Phenylalanine; L-Tryptophan; L-Valine; Thiamine Hydrochloride; Riboflavin; Pyridoxine Hydrochloride; Nicotinamide; Calcium Pantothenate; Folic Acid; Ascorbic Acid; Vitamin A; Cholecalciferol; Alpha Tocopherol Acetate,1627,True,https://greenbook.nafdac.gov.ng/ingredient/products/1627
Alpha Tocopheryl,alpha tocopheryl,L-Isoleucine; L-Leucine; L-Lysine Hydrochloride; L-Methionine; L-Phenylalanine; L- Threonine; L-Tryptophan; L-Valine; Thiamine Hydrochloride; Cholecalciferol; Riboflavin; Pyridoxine Hydrochloride; Nicotinamide; Calcium Pantothenate; Cyanocobalamin; Folic Acid; Ascorbic Acid; Vitamin A; Alpha Tocopheryl acetate,1658,True,https://greenbook.nafdac.gov.ng/ingredient/products/1658
Alprazolam,alprazolam,Alprazolam,2,False,https://greenbook.nafdac.gov.ng/ingredient/products/2
Alprostadil,alprostadil,Alprostadil,1523,False,https://greenbook.nafdac.gov.ng/ingredient/products/1523
Alteplase,alteplase,Alteplase,1483,False,https://greenbook.nafdac.gov.ng/ingredient/products/1483
Aluminium Chlorhydroxide,aluminium chlorhydroxide,Methylprednisolone; Neomycin Sulfate; Sulfur; Aluminium Chlorhydroxide,888,True,https://greenbook.nafdac.gov.ng/ingredient/products/888
Aluminium diacetate,aluminium diacetate,Aluminium diacetate,882,False,https://greenbook.nafdac.gov.ng/ingredient/products/882
Aluminium hydroxide,aluminium hydroxide,Aluminium hydroxide,150,False,https://greenbook.nafdac.gov.ng/ingredient/products/150
Aluminium Hydroxide Gel,aluminium hydroxide gel,Aluminium Hydroxide Gel; Magnesium Hydroxide; Simeticone,2082,True,https://greenbook.nafdac.gov.ng/ingredient/products/2082
ALUMINIUM MAGNESIUM SILICATE,aluminium magnesium silicate,"ALUMINIUM MAGNESIUM SILICATE, MAGNESIUM TRISILICATE, MAGNESIUM CARBONATE, SODIUM BICARBONATE, SIMETHICONE",2330,True,https://greenbook.nafdac.gov.ng/ingredient/products/2330
ALUMINUM HYDROXIDE,aluminum hydroxide,"ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, SIMETHICONE",2318,True,https://greenbook.nafdac.gov.ng/ingredient/products/2318
Ambroxol,ambroxol,Ambroxol Hydrochloride,1396,False,https://greenbook.nafdac.gov.ng/ingredient/products/1396
Amidotrizoates,amidotrizoates,Amidotrizoates,974,False,https://greenbook.nafdac.gov.ng/ingredient/products/974
Amikacin,amikacin,Amikacin (Amikacin Sulphate),481,False,https://greenbook.nafdac.gov.ng/ingredient/products/481
Amiloride,amiloride,Amiloride Hydrochloride,233,False,https://greenbook.nafdac.gov.ng/ingredient/products/233
Amino acid chelated iron,amino acid chelated iron,Hemoglobin; Amino acid chelated iron; Vit A; Vit D3; Vit E; Vit B1; Vit B2; Vit B3; Vit B5; Vit B6; Vit B12; Zinc gluconate; Iodine,1453,True,https://greenbook.nafdac.gov.ng/ingredient/products/1453
Amino acids,amino acids,Amino acids,1938,False,https://greenbook.nafdac.gov.ng/ingredient/products/1938
Amino Acids with Electrolytes,amino acids with electrolytes,Amino Acids with Electrolytes,380,False,https://greenbook.nafdac.gov.ng/ingredient/products/380
Aminobenzoic acid,aminobenzoic acid,Aminobenzoic acid,1507,False,https://greenbook.nafdac.gov.ng/ingredient/products/1507
Aminocaproic acid,aminocaproic acid,Aminocaproic acid,338,False,https://greenbook.nafdac.gov.ng/ingredient/products/338
Aminoglutethimide,aminoglutethimide,Aminoglutethimide,1511,False,https://greenbook.nafdac.gov.ng/ingredient/products/1511
Aminophylline,aminophylline,Aminophylline,382,False,https://greenbook.nafdac.gov.ng/ingredient/products/382
Amiodarone,amiodarone,Amiodarone,286,False,https://greenbook.nafdac.gov.ng/ingredient/products/286
Amitriptyline,amitriptyline,Amitriptyline Hydrochloride,18,False,https://greenbook.nafdac.gov.ng/ingredient/products/18
Amlodipine,amlodipine,Amlodipine,2197,False,https://greenbook.nafdac.gov.ng/ingredient/products/2197
Ammonia Solution Forte,ammonia solution forte,Turpentine Oil; Methyl Salicylate; Capsicum Oleoresin; Camphor Synthetic; Ammonia Solution Forte,2044,True,https://greenbook.nafdac.gov.ng/ingredient/products/2044
Ammonium bicarb.,ammonium bicarb.,Ammonium bicarb.; Ammonium chloride; Ammonium soln; Oleic acid; Turpentine oil,1138,True,https://greenbook.nafdac.gov.ng/ingredient/products/1138
Ammonium Bicarbonate,ammonium bicarbonate,Ammonium Chloride; Turpentine Oil; Strong Ammonia Solution; Ammonium Bicarbonate; Oleic Acid,2046,True,https://greenbook.nafdac.gov.ng/ingredient/products/2046
