accuracy,loss,val_accuracy,val_loss,learning_rate
0.9864864945411682,0.06895699352025986,0.9285714030265808,0.23648084700107574,0.0002500000118743628
0.9864864945411682,0.056643784046173096,0.9285714030265808,0.2373921424150467,0.0002500000118743628
0.9864864945411682,0.06256526708602905,0.9285714030265808,0.23828336596488953,0.0002500000118743628
0.9864864945411682,0.06476116180419922,0.9285714030265808,0.23842017352581024,0.0002500000118743628
1.0,0.05768255889415741,0.9285714030265808,0.23849426209926605,0.0002500000118743628
0.9729729890823364,0.07160882651805878,0.9285714030265808,0.23884643614292145,0.0002500000118743628
0.9729729890823364,0.07687000185251236,0.9285714030265808,0.23914514482021332,0.0002500000118743628
1.0,0.058809228241443634,0.9285714030265808,0.2401057928800583,0.0001250000059371814
0.9729729890823364,0.06484152376651764,0.9285714030265808,0.2398538440465927,0.0001250000059371814
1.0,0.04803561419248581,0.9285714030265808,0.24021528661251068,0.0001250000059371814
0.9864864945411682,0.05578337609767914,0.9285714030265808,0.24044643342494965,0.0001250000059371814
1.0,0.05242762342095375,0.9285714030265808,0.24124933779239655,0.0001250000059371814
0.9864864945411682,0.07009156048297882,0.9285714030265808,0.24141724407672882,0.0001250000059371814
0.9864864945411682,0.09120030701160431,0.9285714030265808,0.24147535860538483,0.0001250000059371814
0.9864864945411682,0.04892000928521156,0.9285714030265808,0.24187228083610535,6.25000029685907e-05
